firstname,Total,J_1908,J_1909,J_1910,J_1911,J_1912,J_1913,J_1914,J_1915,J_1916,J_1917,J_1918,J_1919,J_1920,J_1921,J_1922,J_1923,J_1924,J_1925,J_1926,J_1927,J_1928,J_1929,J_1930,J_1931,J_1932,J_1933,J_1934,J_1935,J_1936,J_1937,J_1938,J_1939,J_1940,J_1941,J_1942,J_1943,J_1944,J_1945,J_1946,J_1947,J_1948,J_1949,J_1950,J_1951,J_1952,J_1953,J_1954,J_1955,J_1956,J_1957,J_1958,J_1959,J_1960,J_1961,J_1962,J_1963,J_1964,J_1965,J_1966,J_1967,J_1968,J_1969,J_1970,J_1971,J_1972,J_1973,J_1974,J_1975,J_1976,J_1977,J_1978,J_1979,J_1980,J_1981,J_1982,J_1983,J_1984,J_1985,J_1986,J_1987,J_1988,J_1989,J_1990,J_1991,J_1992,J_1993,J_1994,J_1995,J_1996,J_1997,J_1998,J_1999,J_2000,J_2001,J_2002,J_2003,J_2004,J_2005,J_2006,J_2007,J_2008,J_2009,J_2010,J_2011,J_2012,J_2013,J_2014
Emilio,359,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,6,*,*,4,8,8,3,6,*,6,*,*,*,6,7,5,5,9,4,3,5,6,11,7,7,5,5,6,4,6,5,6,3,7,6,9,4,12,3,7,6,*,4,10,6,3,5,4,4,4,3,*,3,3,*,*,3,*,*,*,*,*,3,*,*,*,*,*,*,3,*,*,5,3,3,*,*,6,3,7,6,*
Henrique,358,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,5,4,5,8,6,*,6,6,5,12,10,6,8,11,8,7,6,4,6,6,3,3,9,9,7,8,11,8,6,4,7,*,5,4,3,*,8,9,4,3,4,3,5,5,5,*,6,7,3,8,5,7,4,*,8,4,6,5,3,8,*,4
Jean-Baptiste,357,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,4,*,*,*,*,4,*,*,*,*,3,*,5,6,4,8,4,4,7,*,*,3,3,4,3,4,9,6,11,8,3,8,8,14,13,8,19,13,5,12,12,6,11,6,5,6,7,11,6,4,4,5,*,5,5,*,5,4,4,4,*,*,3,*,*,5,*,*,*
Jean-Bernard,357,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,4,*,*,8,7,7,4,5,10,8,6,19,7,17,20,16,11,14,18,8,11,18,13,11,8,13,12,6,7,9,3,7,3,5,5,*,*,4,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Santiago,357,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,4,*,*,3,*,*,4,*,*,4,*,*,5,4,3,4,6,4,*,3,*,4,3,5,5,*,*,*,8,7,7,5,6,*,7,*,4,3,5,6,4,3,4,*,*,*,*,4,*,6,4,*,*,*,3,*,6,6,11,3,*,5,8,10,16,6,16,7,20,25,25
Ilan,355,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,3,*,*,*,3,3,4,5,*,7,5,7,3,16,15,18,26,26,21,28,40,18,27,34,23
Micael,354,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,3,7,13,23,22,26,27,31,28,27,14,21,13,12,5,8,6,6,7,5,*,4,6,7,4,*,5,4,*,*,*
Mohammad,354,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,3,*,*,*,4,6,3,*,*,*,7,5,*,*,5,*,4,7,*,*,6,4,6,7,7,*,5,5,5,3,3,3,6,5,6,7,10,8,3,9,5,4,10,8,7,8,11,10,3,6,6,7,7,7,6,*,4,*,5,7,7,4,*,*,4,5,*,5,3,*,*,*,3,3
Noa,354,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,4,8,16,26,23,24,21,29,25,27,27,29,27,17,25,17
Jean-Charles,351,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,9,*,5,4,4,3,9,3,12,5,7,6,*,6,6,7,9,12,13,15,14,15,16,8,7,10,15,3,10,10,5,7,5,6,7,5,5,3,7,*,3,5,*,*,*,*,7,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Philip,351,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,5,4,7,7,11,3,4,3,9,8,9,11,8,4,7,9,12,6,7,8,7,4,10,7,5,4,4,7,4,3,5,8,7,7,9,9,5,3,4,4,3,3,8,7,*,5,6,*,5,*,3,*,3,4,*,*,*,*,3,*,*,*,3,*,*,*
Aaron,348,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,4,*,*,*,*,*,4,3,*,*,3,*,*,*,4,*,*,4,3,3,7,*,*,4,6,3,4,3,7,6,15,18,24,29,37,32,28,25,39
Benoit,347,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,3,*,*,4,3,5,*,3,4,6,4,3,7,9,6,3,4,*,5,7,3,5,*,4,6,4,*,10,9,9,7,8,13,10,7,11,10,9,4,10,8,6,12,8,5,3,9,4,7,4,3,7,7,3,*,3,4,*,*,*,*,*,*,*,*,*,3
Hasan,347,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,4,5,5,*,6,8,*,5,9,9,8,6,9,8,6,8,9,11,5,3,5,3,9,8,7,4,10,9,6,8,5,5,7,12,5,6,6,3,*,6,6,3,4,5,*,4,*,5,5,*,5,3,7,4,*,*,3,*,*,*,*,*,*,*,*
Jean-Christophe,344,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,6,5,3,3,12,11,15,15,27,15,14,23,11,11,13,10,9,8,11,7,7,10,8,11,8,5,8,5,*,6,5,3,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Timéo,343,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,5,*,13,20,32,31,46,40,33,29,45,43
Loan,342,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,3,*,4,6,10,9,11,12,14,15,12,10,12,16,17,19,26,18,22,25,21,16,30
Kévin,341,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,6,3,4,7,*,11,11,18,21,27,29,28,33,13,13,10,7,14,6,7,5,7,6,5,6,8,5,3,3,*,*,5,*,3
Camille,340,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,3,*,3,5,*,7,3,*,6,8,3,9,*,4,3,7,5,3,4,4,4,4,*,5,4,4,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,3,*,*,*,*,*,*,*,*,4,8,7,5,4,7,3,8,7,7,8,4,7,8,7,5,*,5,6,4,3,7,*,*,*,4,3,*,10,*,3,4,8,6,3,6,3
Malik,340,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,*,4,7,5,6,*,4,4,8,7,7,8,5,7,*,9,3,6,10,*,11,16,7,20,14,9,13,11,15,26,13,19,15,12
Arno,338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,6,3,6,4,5,6,10,8,11,13,16,14,11,9,21,31,10,18,21,17,23,14,14,10
Carmelo,338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,3,3,4,8,7,8,4,11,4,5,6,6,5,6,11,13,12,*,*,8,4,7,8,5,6,9,5,8,13,10,9,4,12,5,7,8,4,9,4,9,4,3,4,3,4,3,*,5,3,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Raul,336,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,5,*,4,3,5,*,*,8,6,5,6,5,9,6,5,16,10,6,8,9,6,6,9,13,9,16,11,4,9,7,6,4,4,6,*,*,6,6,3,*,*,*,*,*,3,*,*,*,4,6,*,6,4,5,6,4,*,3,*,*,3,3,*
Abel,334,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,4,*,*,3,4,8,5,*,*,3,*,10,7,6,13,9,10,5,6,8,6,4,5,3,6,10,4,4,4,6,4,5,*,4,3,6,6,4,3,3,*,*,3,*,*,8,4,5,4,3,*,*,5,*,4,3,8,3,6,6,*,5,*,5,9,9,10
Mikael,334,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,3,6,8,13,6,13,7,10,5,20,13,15,18,25,14,12,14,7,9,4,7,6,4,4,11,4,8,3,7,4,3,*,9,3,*,3,*,4
Amir,333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,3,*,5,*,*,3,*,*,4,8,*,4,4,5,4,*,10,6,7,6,3,5,7,7,9,5,6,8,6,7,8,5,5,11,10,6,6,7,5,3,5,6,8,5,8,3,5,6,16,10,9,15,15
Ivo,333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,6,4,7,5,6,4,5,4,7,*,8,3,*,4,4,3,4,*,3,6,4,4,6,6,8,8,13,12,9,6,14,6,8,4,6,6,4,5,5,6,5,7,*,3,4,3,4,4,*,6,*,4,12,9,*,5,7
Andres,327,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,3,5,*,3,*,4,*,*,3,3,*,3,4,3,5,*,6,7,5,9,*,3,4,6,4,3,4,10,3,10,7,*,*,6,8,6,7,5,7,*,5,6,4,8,5,9,*,5,9,3,6,6,4,9,12,7,6,4,*,6,3,*,*,4,*,*,*,*,*,*,4,*,3,*,*,*,*
Theo,327,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,*,*,3,6,17,9,9,11,11,16,19,25,29,18,10,22,16,10,6,6,9,9,9,11,9
Mateo,326,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,4,4,6,7,7,9,5,13,14,17,30,21,26,16,20,19,17,16,23,17,11
Enrico,325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,5,5,4,*,3,10,3,7,9,5,3,7,*,3,5,6,*,3,5,4,5,5,4,8,8,5,9,8,6,5,6,7,9,8,6,7,9,8,6,*,5,4,*,8,8,3,*,*,6,*,3,5,*,*,4,3,6,3,3,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,3,*,*,*,*,*
Milan,325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,3,4,6,3,4,*,6,6,*,6,6,4,4,7,6,*,8,7,3,5,4,*,*,*,4,*,3,*,4,*,*,3,*,*,*,5,3,3,4,*,5,3,*,5,7,6,4,4,*,8,*,4,7,6,4,6,7,6,5,3,7,8,5,6,9,5,11,15
Gian,323,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,4,6,*,*,3,*,3,3,*,*,4,4,3,*,3,*,6,*,6,8,3,6,3,6,9,9,7,10,8,4,8,12,6,6,8,9,*,10,6,8,6,7,4,4,*,3,*,*,4,*,*,*,*,*,4,*,*,*,3,*,3,*,5,3,3,3,*,*,*,*,7,*,3,*,*,*,3,7
Lukas,323,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,*,*,5,*,3,*,4,*,*,6,3,*,4,*,3,11,*,*,8,6,8,5,3,8,9,7,3,5,5,9,6,*,7,4,5,8,*,6,5,7,15,11,11,11,11,9,11,10,4,7,8,13
Allan,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,*,7,*,3,7,7,3,3,7,10,13,13,5,17,15,9,17,22,14,14,9,11,10,7,10,6,7,5,6,5,*,5,*,6
Jacky,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,5,4,*,11,8,6,8,3,5,5,9,12,6,14,7,19,12,8,10,9,12,6,11,7,4,7,5,5,8,5,4,8,*,4,*,*,10,*,4,3,*,*,*,*,*,*,*,3,*,*,*,3,*,3,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Mirko,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,3,4,*,5,6,5,5,6,*,8,5,6,13,10,10,6,9,3,5,6,4,6,*,5,3,5,6,4,7,7,3,7,3,4,10,*,7,6,5,6,9,5,4,5,5,*,5,7,8,*,6,7,5,4
Germain,318,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,5,4,*,8,6,6,5,5,13,6,9,14,4,8,*,7,8,11,13,5,9,5,3,10,7,8,6,6,4,*,*,5,4,3,4,*,7,6,4,3,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,4,*,4,3,*,3,3,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Hermann,318,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,7,4,7,3,4,5,7,4,9,7,15,12,7,15,14,11,7,15,11,8,13,9,9,3,9,6,6,*,4,4,*,*,5,4,4,4,*,5,*,3,*,3,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Agostinho,317,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,5,8,5,10,16,13,20,19,19,13,15,11,14,16,23,12,10,14,10,6,8,7,6,*,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Rodolphe,316,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,4,*,*,3,3,*,6,3,4,4,7,*,5,6,3,7,9,3,7,3,3,6,7,*,7,7,4,3,5,6,*,3,6,*,*,7,*,6,3,*,5,4,4,*,10,8,4,10,4,11,10,7,7,5,3,4,4,3,*,3,3,*,3,*,*,6,*,4,*,5,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Augusto,311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,4,*,*,*,*,*,3,6,*,*,*,*,3,6,3,7,4,*,8,10,6,13,8,13,13,11,13,14,8,19,11,8,8,12,6,7,5,5,4,5,5,*,*,3,*,3,*,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Isaac,311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,3,*,3,3,*,*,4,*,*,*,*,*,*,*,*,*,*,5,3,5,*,3,3,*,*,*,4,*,*,*,*,*,5,3,4,7,6,5,9,*,4,5,6,*,9,8,16,18,17,14,21,19,32
Nikola,311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,4,3,5,4,*,*,*,*,3,*,7,*,*,*,*,6,4,3,3,3,6,8,3,5,*,5,9,8,9,6,9,12,12,14,12,11,13,11,7,7,5,7,7,6,8,7,6,9,3
Johnny,304,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,7,3,3,3,3,5,7,5,4,8,5,*,3,4,9,9,5,8,13,5,4,7,10,9,4,5,6,7,7,6,4,*,7,7,12,6,9,7,9,10,10,3,4,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*
Carmine,302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,7,8,7,11,8,8,*,3,5,8,9,6,6,4,8,6,5,6,7,5,6,6,6,12,12,4,4,6,7,6,4,6,5,5,5,5,*,4,7,5,5,3,3,*,*,*,*,*,*,*,3,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Maxence,301,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,3,4,4,9,6,4,5,10,9,6,5,10,3,9,6,5,10,21,12,12,12,17,13,14,15,12,21,14
Noël,301,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,7,4,6,*,5,9,8,5,6,6,9,3,4,3,4,6,6,9,11,4,14,8,5,5,6,6,4,4,7,4,3,5,6,*,4,4,4,*,8,*,*,3,4,4,*,5,3,*,3,4,3,*,*,3,*,*,4,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Samy,301,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,3,4,*,*,*,5,6,*,*,3,4,3,*,7,4,*,3,9,8,13,13,8,6,8,7,14,5,6,12,10,15,10,8,3,4,7,9,9,13,*,7,10,9
Fábio,300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,5,8,15,22,12,32,29,31,20,13,15,10,8,6,9,7,5,5,4,3,5,*,*,3,*,5,*,3,*,*,3,3
Gabriele,299,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,3,*,4,*,*,*,3,*,*,*,3,3,*,*,5,*,5,3,5,4,3,*,3,6,7,*,4,8,5,5,5,3,7,3,10,7,3,4,*,3,4,4,5,*,6,*,9,3,3,4,3,*,4,3,*,5,*,3,*,9,*,3,5,5,3,*,3,7,6,7,7,4,*,3,7
Noam,298,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,3,*,*,*,4,*,3,*,*,*,4,*,3,*,3,7,9,12,11,9,17,15,12,12,22,28,21,26,25,32
Rocco,298,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,3,*,*,*,8,6,3,4,3,7,3,4,6,5,4,4,4,8,9,5,11,12,8,7,7,7,9,11,11,*,8,*,*,4,6,4,6,*,5,3,*,5,*,3,*,3,3,*,7,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,3,*,*,*,*,*,*,*,*,3,*,*,*,*,3,*
Ernesto,295,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,3,*,*,*,3,*,*,4,8,*,*,5,*,6,*,*,4,5,4,4,9,*,9,9,6,5,7,8,8,8,7,7,12,12,7,11,7,7,8,*,6,5,*,5,5,*,4,7,4,*,3,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Luka,295,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,5,6,5,3,5,7,8,7,8,20,13,17,25,19,27,16,18,17,21,18
Yannis,295,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,11,5,8,*,*,4,*,5,*,*,5,5,4,5,5,7,*,*,4,7,5,8,10,9,7,13,5,10,8,9,11,13,11,11,8,9,8,8,8,8,4,5,9
Hugues,294,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,*,*,*,*,*,*,*,6,*,3,6,*,3,3,6,3,*,3,4,3,7,7,*,6,5,3,6,3,5,5,7,11,10,9,8,14,9,4,9,7,*,7,8,5,3,5,9,7,*,*,6,*,4,*,3,*,*,3,3,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*
Mathéo,294,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,3,5,6,8,15,13,24,20,25,25,23,32,30,32,26
Antonin,293,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,7,*,4,4,*,6,5,4,3,6,5,4,4,14,10,7,8,6,11,8,6,3,6,9,5,11,14,11,13,9,15,6,6,*,8,11,5
Danilo,292,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,4,*,5,*,4,*,*,*,6,*,4,*,5,*,4,3,5,*,3,3,6,*,*,*,*,4,5,*,*,5,5,*,*,5,4,*,*,5,4,9,9,3,6,7,4,3,10,8,8,5,7,4,4,4,5,7,4,6,3,3,8,6,6,*,*,4,3,4,*,3
